5,Very user friendly and easy to keep up with accounts. My only problem is sorting out the opening balances.,2020-01-30 09:40:00
5,Simple interface. Very useful service!,2020-01-30 09:38:22
4,Straight forward to use. No issues.,2020-01-21 09:47:17
5,Excellent for Paypal based Businesses.,2020-01-09 10:01:44
5,"We operate in Iraq and UAE, running separate FreeAgent versions for each country. Handling of several currencies, managing the local VAT accounting, the ease of invoicing and the phone app are great features supporting our growing business.",2020-01-08 06:20:09
5,I&#039;m absolutely loving Freeagent. I can sync it with my bank account which makes life a whole lot easier and I can do recurring invoices. I really am so pleased.,2020-01-07 12:32:28
5,Good accounting soft,2020-01-05 11:44:07
5,So far found it very easy to use and makes financial management a breeze,2020-01-03 10:24:58
2,Really hard to use with very little reference sources available. Setting up journal entries is brutal. ,2019-12-12 19:43:34
5,Extremely simple and saves a load of time,2019-12-11 10:22:35
5,very easy to use software that has some flexibility to allow you to correct mistakes as you learn. Excellent dashboard as well.,2019-12-06 14:35:19
2,"Linking to a business account appear impossible. Annoying, especially when I&#039;ve dropped ~£150 on a six month subscription. Snail-paced online help.",2019-12-06 10:05:44
5,Easy to use and helpful support staff.,2019-12-02 23:03:08
5,"easy to use, easy to manage, easy to customise, and I had never done finance before. ",2019-11-27 09:46:36
5,Find FreeAgent very easy to use.,2019-11-19 14:00:20
3,"Good at what it does - but it cannot automatically import transactions from Stripe, which is a big player in the payment processing business. FreeAgent does not even seem to be able to import Stripe generated files. This leaves you having to manually enter everything. If you don&#039;t use Stripe - I&#039;m sure you will find it a 5-star experience.",2019-11-08 16:05:42
5,"Best purchase I&#039;ve ever made, saved me over £1000 a year on accountant &amp; software fees, so simple to use. Helpline very useful sorted out a small problem I had in minutes. All for approx £100 for the first year. Absolutely brilliant, would highly recommend to others.",2019-11-05 09:43:38
5,"Excellent, easy to use and the help service good",2019-10-28 10:48:34
3,OK but does not seem to accept pdf`s of items which is a pain when using a laptop and scanner,2019-10-28 09:15:43
4,Easy to navigate and user friendly for people like me that work in a visual industry and not number literate!,2019-10-10 08:36:14
